,Platform,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016
0,Wii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.46,143.50999999999993,153.85000000000002,185.38000000000002,111.88999999999997,49.94999999999999,21.049999999999997,8.61,4.09,1.2,0.0
1,NES,0.0,0.0,0.0,10.959999999999999,50.09000000000001,53.44,36.410000000000004,19.759999999999998,45.01,7.789999999999999,15.74,5.83,1.9100000000000001,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,64.98,4.890000000000001,4.7700000000000005,25.25,0.0,12.170000000000002,3.5999999999999996,35.52,5.92,26.83,37.720000000000006,18.339999999999996,8.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.04,121.73,106.84000000000002,125.02000000000001,113.51999999999997,92.79,60.77,15.740000000000002,10.6,1.18,0.0,0.0,0.0
4,X360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.919999999999999,44.69999999999999,87.48999999999995,127.29999999999997,107.32000000000002,159.43,131.47000000000003,95.05999999999995,85.43999999999997,32.66,11.110000000000001,0.34
5,PS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.689999999999998,68.4,112.07000000000002,122.30999999999997,132.04,143.49000000000007,101.98000000000002,109.98999999999994,43.46,14.710000000000003,0.7
6,PS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.469999999999985,154.4300000000001,186.62000000000003,166.96,194.94999999999996,143.9000000000001,88.94000000000001,63.61000000000001,39.73000000000001,19.479999999999997,3.8400000000000003,0.0,0.0,0.0,0.0,0.0,0.0
7,SNES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.16,14.150000000000002,31.329999999999995,37.88000000000001,32.56999999999999,28.779999999999998,13.62,0.6599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,GBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.42,57.88999999999999,45.979999999999976,65.66000000000001,24.08,2.3,2.9699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3DS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84000000000002,43.760000000000005,49.47000000000001,38.07000000000001,21.259999999999994,4.18
10,PS4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.180000000000007,95.05000000000004,107.08,32.78999999999999
