,Year,Genre
0,1980,Misc
1,1981,Action
2,1982,Action
3,1983,Action
4,1984,Racing
5,1985,Platform
6,1986,Platform
7,1987,Sports
8,1988,Platform
9,1989,Puzzle
10,1990,Sports
11,1991,Sports
12,1992,Fighting
13,1993,Platform
14,1994,Sports
15,1995,Sports
16,1996,Sports
17,1997,Sports
18,1998,Sports
19,1999,Sports
20,2000,Sports
21,2001,Sports
22,2002,Sports
23,2003,Action
24,2004,Action
25,2005,Action
26,2006,Action
27,2007,Action
28,2008,Action
29,2009,Action
30,2010,Action
31,2011,Action
32,2012,Action
33,2013,Action
34,2014,Action
35,2015,Action
36,2016,Action
